MÊS;PRODUTO;NÚMERO DE POSTOS PESQUISADOS;UNIDADE DE MEDIDA;PREÇO MÉDIO REVENDA;DESVIO PADRÃO REVENDA;PREÇO MÍNIMO REVENDA;PREÇO MÁXIMO REVENDA;MARGEM MÉDIA REVENDA;COEF DE VARIAÇÃO REVENDA;PREÇO MÉDIO DISTRIBUIÇÃO;DESVIO PADRÃO DISTRIBUIÇÃO;PREÇO MÍNIMO DISTRIBUIÇÃO;PREÇO MÁXIMO DISTRIBUIÇÃO;COEF DE VARIAÇÃO DISTRIBUIÇÃO;;;
set/15;OLEO DIESEL S10;8247;R$/l;2,957;0,143;2,599;3,700;0,318;0,048;2,639;0,108;2,256;3,245;0,041;;;
set/15;ETANOL HIDRATADO;12475;R$/l;2,074;0,336;1,390;3,610;0,339;0,162;1,735;0,274;1,220;2,699;0,158;;;
set/15;GASOLINA COMUM;13475;R$/l;3,277;0,201;2,749;4,160;0,415;0,061;2,862;0,140;2,471;3,395;0,049;;;
set/15;GLP;14789;R$/13kg;52,918;7,049;35,000;80,000;17,700;0,133;35,218;7,476;19,000;58,900;0,212;;;
set/15;GNV;1009;R$/m3;2,146;0,191;1,599;2,919;0,560;0,089;1,586;0,173;1,271;2,067;0,109;;;
out/15;OLEO DIESEL;8633;R$/l;2,925;0,162;2,510;3,990;0,322;0,055;2,603;0,123;2,290;3,180;0,047;;;
out/15;OLEO DIESEL S10;8994;R$/l;3,074;0,156;2,649;4,020;0,366;0,051;2,708;0,116;2,314;3,366;0,043;;;
out/15;ETANOL HIDRATADO;13086;R$/l;2,365;0,272;1,670;3,790;0,369;0,115;1,996;0,245;1,445;2,862;0,123;;;
out/15;GASOLINA COMUM;14226;R$/l;3,480;0,202;2,899;4,550;0,466;0,058;3,014;0,156;2,459;3,614;0,052;;;
out/15;GLP;15112;R$/13kg;53,867;6,980;36,000;80,000;17,286;0,130;36,581;7,083;16,790;60,000;0,194;;;
out/15;GNV;1012;R$/m3;2,183;0,186;1,769;2,799;0,580;0,085;1,603;0,166;1,283;2,160;0,104;;;
nov/15;OLEO DIESEL;11193;R$/l;2,965;0,161;2,499;3,980;0,317;0,054;2,648;0,124;2,160;3,258;0,047;;;
nov/15;OLEO DIESEL S10;11473;R$/l;3,112;0,156;2,590;4,020;0,361;0,050;2,751;0,118;2,390;3,418;0,043;;;
nov/15;ETANOL HIDRATADO;16338;R$/l;2,578;0,271;1,890;3,800;0,363;0,105;2,215;0,242;1,577;3,252;0,109;;;
nov/15;GASOLINA COMUM;17843;R$/l;3,576;0,199;2,959;4,800;0,462;0,056;3,114;0,149;2,590;3,702;0,048;;;
nov/15;GLP;18420;R$/13kg;54,205;6,747;35,000;82,000;16,859;0,124;37,346;6,730;20,170;60,000;0,180;;;
nov/15;GNV;1178;R$/m3;2,208;0,200;1,769;2,849;0,592;0,091;1,616;0,198;1,293;2,331;0,123;;;
dez/15;OLEO DIESEL;15743;R$/l;2,985;0,157;2,489;3,950;0,323;0,053;2,662;0,115;2,290;3,260;0,043;;;
dez/15;OLEO DIESEL S10;15871;R$/l;3,128;0,155;2,649;4,020;0,352;0,050;2,776;0,109;2,198;3,440;0,039;;;
dez/15;ETANOL HIDRATADO;22409;R$/l;2,659;0,275;2,130;3,850;0,363;0,103;2,296;0,261;1,752;3,254;0,114;;;
dez/15;GASOLINA COMUM;24507;R$/l;3,633;0,191;3,079;4,719;0,459;0,053;3,174;0,135;2,663;3,734;0,043;;;
dez/15;GLP;24552;R$/13kg;54,071;6,831;35,000;83,000;16,557;0,126;37,514;6,759;16,790;60,000;0,180;;;
dez/15;GNV;1474;R$/m3;2,225;0,215;1,599;3,090;0,605;0,097;1,620;0,203;1,324;2,332;0,125;;;
jan/16;OLEO DIESEL;14961;R$/l;3,003;0,160;2,460;3,950;0,320;0,053;2,683;0,117;2,179;3,260;0,044;;;
jan/16;OLEO DIESEL S10;14858;R$/l;3,148;0,158;2,649;4,020;0,348;0,050;2,800;0,115;2,330;3,440;0,041;;;
jan/16;ETANOL HIDRATADO;20842;R$/l;2,718;0,304;2,179;3,955;0,349;0,112;2,369;0,265;1,917;3,462;0,112;;;
jan/16;GASOLINA COMUM;22761;R$/l;3,676;0,204;3,149;4,799;0,450;0,055;3,226;0,141;2,860;3,727;0,044;;;
jan/16;GLP;22052;R$/13kg;53,947;6,915;35,000;83,000;16,374;0,128;37,573;6,672;21,090;60,000;0,178;;;
jan/16;GNV;1262;R$/m3;2,244;0,220;1,695;3,299;0,607;0,098;1,637;0,206;1,282;2,331;0,126;;;
fev/16;OLEO DIESEL;16325;R$/l;3,017;0,165;2,499;3,900;0,322;0,055;2,695;0,124;2,320;3,326;0,046;;;
fev/16;OLEO DIESEL S10;16430;R$/l;3,158;0,164;2,649;4,020;0,349;0,052;2,809;0,124;2,490;3,596;0,044;;;
fev/16;ETANOL HIDRATADO;22689;R$/l;2,808;0,311;2,199;4,296;0,327;0,111;2,481;0,264;1,950;3,590;0,106;;;
fev/16;GASOLINA COMUM;24756;R$/l;3,710;0,206;3,109;4,799;0,450;0,056;3,260;0,147;2,890;3,771;0,045;;;
fev/16;GLP;23225;R$/13kg;53,941;6,810;35,000;82,000;15,970;0,126;37,971;6,638;21,090;60,000;0,175;;;
fev/16;GNV;1316;R$/m3;2,251;0,233;1,499;3,399;0,608;0,104;1,643;0,208;1,299;2,331;0,127;;;
mar/16;OLEO DIESEL;17219;R$/l;3,020;0,166;2,499;3,980;0,326;0,055;2,694;0,132;2,062;3,350;0,049;;;
mar/16;OLEO DIESEL S10;17561;R$/l;3,164;0,165;2,649;4,250;0,356;0,052;2,808;0,133;2,490;3,644;0,047;;;
mar/16;ETANOL HIDRATADO;24029;R$/l;2,869;0,326;2,259;4,296;0,324;0,114;2,545;0,284;2,050;3,680;0,112;;;
mar/16;GASOLINA COMUM;26434;R$/l;3,730;0,210;3,179;4,840;0,448;0,056;3,282;0,149;2,734;3,792;0,045;;;
mar/16;GLP;26366;R$/13kg;53,871;6,834;35,000;83,000;15,637;0,127;38,234;6,744;21,230;59,990;0,176;;;
mar/16;GNV;1462;R$/m3;2,253;0,246;1,789;4,020;0,624;0,109;1,629;0,216;1,273;2,331;0,133;;;
abr/16;OLEO DIESEL;14870;R$/l;3,021;0,171;2,640;3,980;0,324;0,057;2,697;0,130;2,320;3,373;0,048;;;
abr/16;OLEO DIESEL S10;15281;R$/l;3,165;0,170;2,740;4,098;0,353;0,054;2,812;0,134;2,434;3,695;0,048;;;
abr/16;ETANOL HIDRATADO;20839;R$/l;2,741;0,406;1,859;4,296;0,444;0,148;2,297;0,419;1,499;3,830;0,182;;;
abr/16;GASOLINA COMUM;22743;R$/l;3,717;0,219;3,059;4,890;0,458;0,059;3,259;0,162;2,830;3,792;0,050;;;
abr/16;GLP;22042;R$/13kg;53,679;6,857;35,000;83,000;15,500;0,128;38,179;6,578;21,529;58,500;0,172;;;
abr/16;GNV;1219;R$/m3;2,251;0,234;1,749;3,090;0,639;0,104;1,612;0,227;1,295;2,351;0,141;;;
mai/16;OLEO DIESEL;17335;R$/l;3,017;0,170;2,460;3,980;0,325;0,056;2,692;0,130;2,059;3,369;0,048;;;
mai/16;OLEO DIESEL S10;18009;R$/l;3,161;0,168;2,499;4,250;0,359;0,053;2,802;0,134;2,336;3,750;0,048;;;
mai/16;ETANOL HIDRATADO;24153;R$/l;2,478;0,479;1,597;4,296;0,433;0,193;2,045;0,406;1,420;3,690;0,199;;;
mai/16;GASOLINA COMUM;26393;R$/l;3,674;0,233;3,047;4,890;0,481;0,063;3,193;0,177;2,590;3,681;0,055;;;
mai/16;GLP;25637;R$/13kg;53,384;6,952;35,000;83,000;15,612;0,130;37,772;6,650;21,529;58,500;0,176;;;
mai/16;GNV;1398;R$/m3;2,241;0,241;1,590;3,190;0,623;0,108;1,618;0,228;1,289;2,365;0,141;;;
jun/16;OLEO DIESEL;15839;R$/l;3,015;0,172;2,539;3,980;0,327;0,057;2,688;0,131;2,093;3,353;0,049;;;
jun/16;OLEO DIESEL S10;17125;R$/l;3,159;0,172;2,690;4,090;0,359;0,054;2,800;0,132;2,404;3,750;0,047;;;
jun/16;ETANOL HIDRATADO;22695;R$/l;2,466;0,437;1,749;4,069;0,364;0,177;2,102;0,349;1,584;3,690;0,166;;;
jun/16;GASOLINA COMUM;24764;R$/l;3,646;0,235;3,049;4,890;0,462;0,064;3,184;0,179;2,590;3,718;0,056;;;
jun/16;GLP;23904;R$/13kg;53,122;7,101;34,000;82,000;16,059;0,134;37,063;6,568;21,670;68,000;0,177;;;
jun/16;GNV;1323;R$/m3;2,231;0,238;1,699;3,030;0,662;0,107;1,569;0,235;1,130;2,346;0,150;;;
jul/16;OLEO DIESEL;14537;R$/l;3,013;0,172;2,539;3,980;0,330;0,057;2,683;0,134;2,320;3,339;0,050;;;
jul/16;OLEO DIESEL S10;15905;R$/l;3,156;0,172;2,730;4,250;0,360;0,054;2,796;0,134;2,070;3,688;0,048;;;
jul/16;ETANOL HIDRATADO;20747;R$/l;2,434;0,441;1,790;3,999;0,365;0,181;2,069;0,359;1,574;3,567;0,174;;;
jul/16;GASOLINA COMUM;22686;R$/l;3,638;0,242;3,049;4,890;0,466;0,067;3,172;0,183;2,309;3,800;0,058;;;
jul/16;GLP;22007;R$/13kg;52,878;7,076;34,000;82,000;15,817;0,134;37,061;6,536;21,669;61,250;0,176;;;
jul/16;GNV;1222;R$/m3;2,235;0,242;1,695;3,290;0,693;0,108;1,542;0,244;1,125;2,346;0,158;;;
ago/16;OLEO DIESEL;17699;R$/l;3,010;0,171;2,530;3,980;0,336;0,057;2,674;0,135;2,296;3,339;0,050;;;
ago/16;OLEO DIESEL S10;19783;R$/l;3,150;0,171;2,690;4,250;0,364;0,054;2,786;0,135;2,339;3,714;0,048;;;
ago/16;ETANOL HIDRATADO;25529;R$/l;2,485;0,417;1,890;3,999;0,340;0,168;2,145;0,337;1,626;3,570;0,157;;;
ago/16;GASOLINA COMUM;27838;R$/l;3,651;0,237;2,999;4,899;0,461;0,065;3,190;0,185;2,308;3,731;0,058;;;
ago/16;GLP;26997;R$/13kg;52,774;7,039;33,000;82,000;15,941;0,133;36,833;6,517;21,670;72,000;0,177;;;
ago/16;GNV;1460;R$/m3;2,212;0,244;1,688;3,090;0,647;0,110;1,565;0,254;1,190;2,616;0,162;;;
set/16;OLEO DIESEL;14777;R$/l;3,009;0,174;2,530;3,980;0,335;0,058;2,674;0,137;2,360;3,342;0,051;;;
set/16;OLEO DIESEL S10;16519;R$/l;3,150;0,175;2,499;4,250;0,361;0,056;2,789;0,140;2,184;3,740;0,050;;;
set/16;ETANOL HIDRATADO;21236;R$/l;2,510;0,403;1,890;3,999;0,331;0,161;2,179;0,327;1,696;3,470;0,150;;;
set/16;GASOLINA COMUM;23221;R$/l;3,648;0,237;3,010;4,899;0,451;0,065;3,197;0,183;2,590;3,952;0,057;;;
set/16;GLP;22417;R$/13kg;54,688;7,130;35,000;90,000;16,997;0,130;37,691;6,591;21,523;72,000;0,175;;;
set/16;GNV;1222;R$/m3;2,224;0,242;1,699;3,099;0,658;0,109;1,566;0,252;1,150;2,603;0,161;;;
out/16;OLEO DIESEL;15364;R$/l;3,009;0,171;2,530;3,980;0,346;0,057;2,663;0,142;2,370;3,372;0,053;;;
out/16;OLEO DIESEL S10;17774;R$/l;3,148;0,174;2,490;4,250;0,370;0,055;2,778;0,143;2,344;3,741;0,051;;;
out/16;ETANOL HIDRATADO;22402;R$/l;2,676;0,352;1,979;4,200;0,332;0,132;2,344;0,295;1,770;3,591;0,126;;;
out/16;GASOLINA COMUM;24478;R$/l;3,662;0,227;3,049;4,899;0,447;0,062;3,215;0,177;2,590;3,952;0,055;;;
out/16;GLP;24571;R$/13kg;55,343;7,352;35,000;90,000;16,796;0,133;38,547;6,633;21,641;79,200;0,172;;;
out/16;GNV;1308;R$/m3;2,201;0,248;1,688;3,090;0,654;0,113;1,547;0,288;1,199;2,603;0,186;;;
nov/16;OLEO DIESEL;16532;R$/l;2,993;0,178;2,459;3,980;0,374;0,059;2,619;0,154;2,190;3,346;0,059;;;
nov/16;OLEO DIESEL S10;18858;R$/l;3,136;0,182;2,599;4,250;0,396;0,058;2,740;0,155;2,290;3,742;0,057;;;
nov/16;ETANOL HIDRATADO;23703;R$/l;2,812;0,332;2,259;4,479;0,322;0,118;2,490;0,283;1,766;3,823;0,114;;;
nov/16;GASOLINA COMUM;26093;R$/l;3,671;0,220;2,999;4,899;0,444;0,060;3,227;0,172;2,590;3,959;0,053;;;
nov/16;GLP;23906;R$/13kg;55,607;7,438;35,000;90,000;16,559;0,134;39,048;6,817;21,623;79,200;0,175;;;
nov/16;GNV;1361;R$/m3;2,221;0,245;1,709;3,099;0,678;0,110;1,543;0,239;1,150;2,341;0,155;;;
dez/16;OLEO DIESEL;14528;R$/l;3,024;0,192;2,459;4,070;0,406;0,063;2,618;0,163;2,180;3,389;0,062;;;
dez/16;OLEO DIESEL S10;16936;R$/l;3,170;0,192;2,599;4,250;0,425;0,061;2,745;0,164;2,229;3,627;0,060;;;
dez/16;ETANOL HIDRATADO;20865;R$/l;2,831;0,344;2,299;4,479;0,345;0,122;2,486;0,292;1,984;3,791;0,117;;;
dez/16;GASOLINA COMUM;23221;R$/l;3,734;0,226;3,099;4,899;0,458;0,061;3,276;0,172;2,590;3,793;0,053;;;
dez/16;GLP;22855;R$/13kg;55,601;7,383;35,000;90,000;16,367;0,133;39,234;6,593;21,675;79,200;0,168;;;
dez/16;GNV;1156;R$/m3;2,214;0,263;1,749;3,220;0,648;0,119;1,566;0,289;1,163;2,720;0,185;;;
jan/17;OLEO DIESEL;16537;R$/l;3,092;0,192;2,459;4,220;0,376;0,062;2,716;0,152;2,190;3,442;0,056;;;
jan/17;OLEO DIESEL S10;19362;R$/l;3,239;0,194;2,590;4,299;0,399;0,060;2,840;0,155;2,299;3,750;0,055;;;
jan/17;ETANOL HIDRATADO;23751;R$/l;2,910;0,346;2,259;4,489;0,347;0,119;2,563;0,290;1,983;3,915;0,113;;;
jan/17;GASOLINA COMUM;26373;R$/l;3,768;0,229;3,139;4,949;0,434;0,061;3,334;0,170;2,340;3,921;0,051;;;
jan/17;GLP;24872;R$/13kg;55,611;7,484;35,900;95,000;16,044;0,135;39,567;6,687;21,675;79,200;0,169;;;
jan/17;GNV;1300;R$/m3;2,218;0,265;1,729;3,200;0,648;0,119;1,570;0,280;1,178;2,690;0,178;;;
fev/17;OLEO DIESEL;12558;R$/l;3,098;0,192;2,550;4,220;0,395;0,062;2,703;0,149;2,190;3,442;0,055;;;
fev/17;OLEO DIESEL S10;14897;R$/l;3,241;0,193;2,690;4,260;0,417;0,060;2,824;0,152;2,374;3,703;0,054;;;
fev/17;ETANOL HIDRATADO;18374;R$/l;2,884;0,370;2,239;4,489;0,366;0,128;2,518;0,309;2,000;3,928;0,123;;;
fev/17;GASOLINA COMUM;20404;R$/l;3,755;0,229;3,090;4,799;0,447;0,061;3,308;0,172;2,590;3,874;0,052;;;
fev/17;GLP;20446;R$/13kg;55,488;7,511;35,900;95,000;16,096;0,135;39,392;6,803;21,675;79,200;0,173;;;
fev/17;GNV;1001;R$/m3;2,284;0,265;1,749;3,099;0,703;0,116;1,581;0,251;1,172;2,346;0,159;;;
mar/17;OLEO DIESEL;16837;R$/l;3,050;0,202;2,459;4,220;0,428;0,066;2,622;0,155;2,233;3,281;0,059;;;
mar/17;OLEO DIESEL S10;20040;R$/l;3,191;0,203;2,589;4,260;0,450;0,064;2,741;0,162;2,300;3,703;0,059;;;
mar/17;ETANOL HIDRATADO;24159;R$/l;2,745;0,418;1,999;4,429;0,386;0,152;2,359;0,361;1,785;4,140;0,153;;;
mar/17;GASOLINA COMUM;27073;R$/l;3,687;0,244;3,079;4,999;0,469;0,066;3,218;0,185;2,590;3,809;0,057;;;
mar/17;GLP;26249;R$/13kg;55,679;7,614;35,000;93,000;16,397;0,137;39,282;6,776;21,675;79,200;0,172;;;
mar/17;GNV;1361;R$/m3;2,302;0,258;1,789;3,099;0,668;0,112;1,634;0,223;1,220;2,300;0,136;;;
abr/17;OLEO DIESEL;14006;R$/l;3,015;0,201;2,480;4,220;0,437;0,067;2,578;0,144;2,211;3,221;0,056;;;
abr/17;OLEO DIESEL S10;16848;R$/l;3,156;0,201;2,589;4,260;0,462;0,064;2,694;0,154;2,300;3,589;0,057;;;
abr/17;ETANOL HIDRATADO;20290;R$/l;2,639;0,423;1,899;4,299;0,383;0,160;2,256;0,354;1,740;3,947;0,157;;;
abr/17;GASOLINA COMUM;22713;R$/l;3,635;0,243;2,990;4,999;0,464;0,067;3,171;0,189;2,590;3,858;0,060;;;
abr/17;GLP;22039;R$/13kg;57,187;7,771;35,000;93,000;16,942;0,136;40,245;6,767;23,769;79,200;0,168;;;
abr/17;GNV;1129;R$/m3;2,298;0,256;1,789;3,099;0,634;0,111;1,664;0,223;1,252;2,299;0,134;;;
mai/17;OLEO DIESEL;16949;R$/l;3,017;0,197;2,480;4,220;0,406;0,065;2,611;0,136;2,220;3,230;0,052;;;
mai/17;OLEO DIESEL S10;20721;R$/l;3,153;0,200;2,590;4,260;0,432;0,063;2,721;0,150;2,290;3,666;0,055;;;
mai/17;ETANOL HIDRATADO;24694;R$/l;2,584;0,427;1,870;4,238;0,375;0,165;2,209;0,351;1,687;3,836;0,159;;;
mai/17;GASOLINA COMUM;27610;R$/l;3,617;0,252;2,960;4,999;0,451;0,070;3,166;0,197;2,590;3,856;0,062;;;
mai/17;GLP;26642;R$/13kg;57,206;7,868;38,000;105,000;16,633;0,138;40,573;6,798;23,769;89,900;0,168;;;
mai/17;GNV;1353;R$/m3;2,316;0,261;1,789;3,099;0,686;0,113;1,630;0,223;1,240;2,314;0,137;;;
jun/17;OLEO DIESEL;14266;R$/l;2,985;0,204;2,459;4,220;0,432;0,068;2,553;0,149;2,110;3,210;0,058;;;
jun/17;OLEO DIESEL S10;17642;R$/l;3,121;0,206;2,520;4,260;0,452;0,066;2,669;0,161;2,181;3,666;0,060;;;
jun/17;ETANOL HIDRATADO;20905;R$/l;2,485;0,454;1,790;4,157;0,369;0,183;2,116;0,361;1,650;3,582;0,171;;;
jun/17;GASOLINA COMUM;23375;R$/l;3,548;0,269;2,880;4,799;0,458;0,076;3,090;0,209;2,590;3,792;0,068;;;
jun/17;GLP;22954;R$/13kg;57,379;7,837;39,990;105,000;16,483;0,137;40,896;6,777;23,760;70,000;0,166;;;
jun/17;GNV;1123;R$/m3;2,334;0,267;1,780;3,099;0,684;0,114;1,650;0,209;1,310;2,300;0,127;;;
jul/17;OLEO DIESEL;14223;R$/l;2,971;0,219;2,390;4,270;0,474;0,074;2,497;0,166;2,040;3,195;0,066;;;
jul/17;OLEO DIESEL S10;17813;R$/l;3,101;0,219;2,449;4,290;0,491;0,071;2,610;0,177;2,150;3,624;0,068;;;
jul/17;ETANOL HIDRATADO;20953;R$/l;2,460;0,452;1,699;4,157;0,388;0,184;2,072;0,366;1,582;3,712;0,177;;;
jul/17;GASOLINA COMUM;23377;R$/l;3,553;0,304;2,799;4,950;0,506;0,086;3,047;0,231;2,538;3,855;0,076;;;
jul/17;GLP;22833;R$/13kg;57,526;7,998;39,990;105,000;16,519;0,139;41,007;6,684;24,000;75,000;0,163;;;
jul/17;GNV;1135;R$/m3;2,342;0,275;1,700;3,099;0,616;0,117;1,726;0,221;1,245;2,632;0,128;;;
ago/17;OLEO DIESEL;8423;R$/l;3,102;0,213;2,450;4,370;0,404;0,069;2,698;0,173;2,090;3,440;0,064;;;
ago/17;OLEO DIESEL S10;11466;R$/l;3,237;0,209;2,589;4,390;0,423;0,065;2,814;0,175;2,190;3,606;0,062;;;
ago/17;ETANOL HIDRATADO;13220;R$/l;2,611;0,406;1,889;4,444;0,383;0,155;2,228;0,332;1,630;3,747;0,149;;;
ago/17;GASOLINA COMUM;14838;R$/l;3,781;0,265;2,999;5,100;0,450;0,070;3,331;0,219;2,540;4,034;0,066;;;
ago/17;GLP;12038;R$/13kg;57,601;7,946;39,990;105,000;16,661;0,138;40,940;6,891;23,550;84,000;0,168;;;
ago/17;GNV;841;R$/m3;2,368;0,274;1,780;3,150;0,626;0,116;1,742;0,201;1,353;2,248;0,115;;;
set/17;OLEO DIESEL;7041;R$/l;3,173;0,205;2,640;4,470;0,384;0,065;2,789;0,162;2,208;3,520;0,058;;;
set/17;OLEO DIESEL S10;9666;R$/l;3,309;0,208;2,739;4,499;0,403;0,063;2,906;0,164;2,368;3,737;0,056;;;
set/17;ETANOL HIDRATADO;11187;R$/l;2,633;0,400;1,939;4,250;0,365;0,152;2,268;0,325;1,630;3,763;0,143;;;
set/17;GASOLINA COMUM;12508;R$/l;3,881;0,253;3,099;5,200;0,459;0,065;3,422;0,195;2,800;4,025;0,057;;;
set/17;GLP;10270;R$/13kg;59,451;8,428;39,990;110,000;17,578;0,142;41,873;7,135;25,000;75,000;0,170;;;
set/17;GNV;703;R$/m3;2,376;0,277;1,780;3,099;0,621;0,117;1,755;0,199;1,330;2,350;0,113;;;
out/17;OLEO DIESEL;8586;R$/l;3,223;0,195;2,699;4,470;0,356;0,061;2,867;0,135;2,340;3,560;0,047;;;
out/17;OLEO DIESEL S10;11914;R$/l;3,353;0,203;2,749;4,499;0,369;0,061;2,984;0,140;2,444;3,912;0,047;;;
out/17;ETANOL HIDRATADO;13725;R$/l;2,668;0,384;1,999;4,299;0,356;0,144;2,312;0,308;1,683;3,818;0,133;;;
out/17;GASOLINA COMUM;15370;R$/l;3,895;0,250;3,199;5,200;0,438;0,064;3,457;0,196;2,790;4,150;0,057;;;
out/17;GLP;12365;R$/13kg;63,208;9,029;40,000;115,000;18,754;0,143;44,454;7,622;23,550;78,000;0,171;;;
out/17;GNV;855;R$/m3;2,387;0,286;1,740;2,999;0,650;0,120;1,737;0,200;1,365;2,297;0,115;;;
nov/17;OLEO DIESEL;7139;R$/l;3,290;0,209;2,789;4,470;0,363;0,064;2,927;0,146;2,410;3,702;0,050;;;
nov/17;OLEO DIESEL S10;10001;R$/l;3,421;0,215;2,860;4,528;0,379;0,063;3,042;0,152;2,540;3,959;0,050;;;
nov/17;ETANOL HIDRATADO;11431;R$/l;2,790;0,362;1,990;4,399;0,372;0,130;2,418;0,281;1,687;4,457;0,116;;;
nov/17;GASOLINA COMUM;12806;R$/l;4,004;0,261;3,199;5,200;0,440;0,065;3,564;0,209;2,790;4,203;0,059;;;
nov/17;GLP;10707;R$/13kg;65,186;8,769;45,000;115,000;18,216;0,135;46,970;7,540;30,000;85,000;0,161;;;
nov/17;GNV;684;R$/m3;2,420;0,278;1,760;3,100;0,651;0,115;1,769;0,199;1,365;2,269;0,112;;;
dez/17;OLEO DIESEL;6905;R$/l;3,323;0,205;2,890;4,470;0,378;0,062;2,945;0,147;2,133;3,726;0,050;;;
dez/17;OLEO DIESEL S10;9740;R$/l;3,455;0,213;2,799;4,520;0,399;0,062;3,056;0,152;2,590;4,140;0,050;;;
dez/17;ETANOL HIDRATADO;11153;R$/l;2,879;0,344;1,990;4,399;0,361;0,119;2,518;0,275;1,690;4,457;0,109;;;
dez/17;GASOLINA COMUM;12542;R$/l;4,085;0,256;3,399;5,200;0,432;0,063;3,653;0,203;2,990;4,366;0,056;;;
dez/17;GLP;10252;R$/13kg;66,529;8,957;45,000;115,000;18,464;0,135;48,065;7,832;30,000;85,000;0,163;;;
dez/17;GNV;686;R$/m3;2,421;0,290;1,760;3,199;0,680;0,120;1,741;0,214;1,446;2,468;0,123;;;
jan/18;OLEO DIESEL;15772;R$/l;3,375;0,202;2,799;4,490;0,363;0,060;3,012;0,153;2,490;3,812;0,051;;;
jan/18;OLEO DIESEL S10;21383;R$/l;3,498;0,205;2,940;4,770;0,392;0,059;3,106;0,154;2,520;4,162;0,050;;;
jan/18;ETANOL HIDRATADO;24362;R$/l;2,984;0,347;2,197;4,739;0,346;0,116;2,638;0,280;1,690;3,908;0,106;;;
jan/18;GASOLINA COMUM;27471;R$/l;4,189;0,268;3,499;5,150;0,437;0,064;3,752;0,211;2,904;4,420;0,056;;;
jan/18;GLP;21209;R$/13kg;67,306;8,794;45,000;120,000;18,090;0,131;49,216;7,758;30,000;94,500;0,158;;;
jan/18;GNV;1452;R$/m3;2,468;0,300;1,760;3,299;0,688;0,122;1,780;0,206;1,244;2,531;0,116;;;
fev/18;OLEO DIESEL;13194;R$/l;3,388;0,207;2,799;4,479;0,397;0,061;2,991;0,161;2,490;3,733;0,054;;;
fev/18;OLEO DIESEL S10;17837;R$/l;3,510;0,208;2,899;4,770;0,421;0,059;3,089;0,166;2,590;4,131;0,054;;;
fev/18;ETANOL HIDRATADO;20370;R$/l;3,023;0,361;2,199;4,739;0,332;0,119;2,691;0,303;2,040;4,007;0,113;;;
fev/18;GASOLINA COMUM;23032;R$/l;4,208;0,268;3,479;5,200;0,452;0,064;3,756;0,213;2,990;4,439;0,057;;;
fev/18;GLP;17028;R$/13kg;66,803;8,834;45,000;120,000;17,158;0,132;49,645;7,769;31,560;94,500;0,156;;;
fev/18;GNV;1250;R$/m3;2,519;0,302;1,799;3,299;0,695;0,120;1,824;0,226;1,244;2,492;0,124;;;
mar/18;OLEO DIESEL;13454;R$/l;3,383;0,209;2,890;4,479;0,409;0,062;2,974;0,160;2,490;3,686;0,054;;;
mar/18;OLEO DIESEL S10;18582;R$/l;3,502;0,210;2,940;4,770;0,432;0,060;3,070;0,161;2,493;4,078;0,052;;;
mar/18;ETANOL HIDRATADO;21290;R$/l;3,032;0,373;2,170;4,739;0,318;0,123;2,714;0,313;1,690;4,007;0,115;;;
mar/18;GASOLINA COMUM;24090;R$/l;4,199;0,283;3,479;5,200;0,426;0,067;3,773;0,227;2,990;4,527;0,060;;;
mar/18;GLP;18471;R$/13kg;66,790;8,617;45,000;120,000;17,314;0,129;49,476;7,851;30,000;94,500;0,159;;;
mar/18;GNV;1254;R$/m3;2,551;0,320;1,810;3,399;0,718;0,125;1,833;0,237;1,276;2,531;0,129;;;
abr/18;OLEO DIESEL;14351;R$/l;3,432;0,213;2,890;4,700;0,353;0,062;3,079;0,166;2,490;3,872;0,054;;;
abr/18;OLEO DIESEL S10;19789;R$/l;3,518;0,213;2,940;4,970;0,370;0,061;3,148;0,165;2,590;4,279;0,052;;;
abr/18;ETANOL HIDRATADO;22233;R$/l;2,972;0,410;2,099;4,790;0,392;0,138;2,580;0,390;1,935;4,283;0,151;;;
abr/18;GASOLINA COMUM;25483;R$/l;4,215;0,292;3,397;5,200;0,414;0,069;3,801;0,231;2,990;4,572;0,061;;;
abr/18;GLP;18469;R$/13kg;66,985;8,548;45,000;120,000;17,068;0,128;49,917;7,444;30,000;94,500;0,149;;;
abr/18;GNV;1277;R$/m3;2,562;0,322;1,830;3,399;0,694;0,126;1,868;0,231;1,345;2,498;0,124;;;
mai/18;OLEO DIESEL;11820;R$/l;3,629;0,236;2,990;5,200;0,359;0,065;3,270;0,183;2,490;4,100;0,056;;;
mai/18;OLEO DIESEL S10;16615;R$/l;3,715;0,232;3,049;5,300;0,373;0,062;3,342;0,178;2,590;4,478;0,053;;;
mai/18;ETANOL HIDRATADO;18501;R$/l;2,811;0,474;2,079;4,799;0,434;0,169;2,377;0,397;1,880;4,002;0,167;;;
mai/18;GASOLINA COMUM;21203;R$/l;4,314;0,307;3,369;5,459;0,426;0,071;3,888;0,243;2,990;4,836;0,063;;;
mai/18;GLP;16737;R$/13kg;66,957;8,670;45,000;115,000;16,651;0,129;50,306;7,386;30,000;94,500;0,147;;;
mai/18;GNV;1171;R$/m3;2,640;0,326;1,860;3,500;0,761;0,123;1,879;0,230;1,317;2,495;0,122;;;
